t_s,mad,rel_pct_of_level,mean_level,p99_abs_diff,pct_pixels_changed
32.4000,0.3051,8.1653,3.74,6.00,1.18
32.4333,0.3534,9.4307,3.75,6.00,1.20
32.4667,0.4415,11.8522,3.73,8.00,1.33
32.5000,0.6902,18.6026,3.71,19.00,2.05
32.5333,0.5154,14.4219,3.57,11.00,1.56
32.5667,0.3140,8.9490,3.51,5.00,1.16
32.6000,0.3889,10.6510,3.65,6.00,1.42
32.6333,0.3374,8.9514,3.77,7.00,1.43
32.6667,0.3477,9.0295,3.85,7.00,1.52
32.7000,0.3428,8.7894,3.90,8.00,1.58
32.7333,0.3628,9.2385,3.93,7.00,1.57
32.7667,0.3290,8.3380,3.95,6.00,1.46
32.8000,0.2900,7.3393,3.95,6.00,1.46
32.8333,0.2607,6.6014,3.95,6.00,1.40
32.8667,0.3326,8.3861,3.97,6.00,1.79
32.9000,0.2547,6.4294,3.96,5.00,1.18
32.9333,0.2541,6.4296,3.95,5.00,1.04
32.9667,0.2423,6.1102,3.97,5.00,1.11
33.0000,0.2309,5.8491,3.95,5.00,1.01
33.0333,0.2645,6.7410,3.92,5.00,1.07
33.0667,0.2309,5.8797,3.93,4.00,0.82
33.1000,0.2248,5.7140,3.93,4.00,0.99
33.1333,0.2393,6.0951,3.93,4.00,0.92
33.1667,0.2405,6.1531,3.91,4.00,0.97
33.2000,0.2223,5.6843,3.91,4.00,0.83
33.2333,0.2174,5.5522,3.92,4.00,0.82
33.2667,0.2308,5.9243,3.90,4.00,0.96
33.3000,0.2498,6.4538,3.87,4.00,0.97
33.3333,0.2264,5.8642,3.86,4.00,0.82
33.3667,0.2337,6.0552,3.86,4.00,0.93
33.4000,0.2549,6.6232,3.85,5.00,1.13
33.4333,0.2376,6.2283,3.81,5.00,1.03
33.4667,0.2262,5.9813,3.78,4.00,0.94
33.5000,0.2255,5.9748,3.77,5.00,1.01
33.5333,0.2584,6.8711,3.76,5.00,1.14
33.5667,0.2572,6.9009,3.73,5.00,1.24
33.6000,0.2213,5.9889,3.70,5.00,1.01
33.6333,0.2425,6.5995,3.68,5.00,1.15
33.6667,0.2402,6.5901,3.64,5.00,1.08
33.7000,0.2663,7.3992,3.60,5.00,1.28
33.7333,0.2403,6.7230,3.57,5.00,1.03
33.7667,0.2411,6.7862,3.55,5.00,1.12
33.8000,0.2460,6.9877,3.52,5.00,1.09
33.8333,0.2539,7.2898,3.48,5.00,1.18
33.8667,0.2079,6.0301,3.45,4.00,0.90
33.9000,0.2246,6.5465,3.43,4.00,0.97
33.9333,0.2195,6.4312,3.41,4.00,0.86
33.9667,0.2182,6.4062,3.41,4.00,0.95
34.0000,0.2254,6.5775,3.43,5.00,1.03
34.0333,0.2099,6.0765,3.45,4.00,0.97
34.0667,0.2318,6.6862,3.47,5.00,1.06
34.1000,0.2110,6.0800,3.47,4.00,0.98
34.1333,0.2040,5.8558,3.48,4.00,0.88
34.1667,0.1888,5.3848,3.51,4.00,0.75
34.2000,0.2001,5.6915,3.51,4.00,0.84
34.2333,0.1925,5.4716,3.52,4.00,0.73
34.2667,0.1941,5.4853,3.54,4.00,0.68
34.3000,0.1733,4.8545,3.57,3.00,0.69
34.3333,0.1612,4.5023,3.58,3.00,0.53
34.3667,0.1781,4.9751,3.58,3.00,0.60
34.4000,0.1692,4.6978,3.60,3.00,0.51
34.4333,0.1490,4.1009,3.63,3.00,0.49
34.4667,0.1531,4.2055,3.64,3.00,0.54
34.5000,0.1675,4.6043,3.64,3.00,0.51
34.5333,0.1513,4.1416,3.65,3.00,0.39
34.5667,0.1378,3.7471,3.68,3.00,0.39
34.6000,0.1351,3.6634,3.69,3.00,0.36
34.6333,0.1425,3.8646,3.69,3.00,0.42
34.6667,0.1455,3.9289,3.70,3.00,0.35
34.7000,0.1217,3.2616,3.73,2.00,0.31
34.7333,0.1168,3.1248,3.74,2.00,0.28
34.7667,0.1231,3.3017,3.73,3.00,0.37
34.8000,0.0794,2.1357,3.72,2.00,0.24
34.8333,0.2329,6.2114,3.75,4.00,0.84
34.8667,0.1228,3.2251,3.81,2.00,0.24
34.9000,0.1026,2.6755,3.83,2.00,0.24
34.9333,0.0988,2.5710,3.84,2.00,0.20
34.9667,0.0898,2.3407,3.83,2.00,0.20
35.0000,0.1278,3.3256,3.84,2.00,0.18
35.0333,0.1071,2.7647,3.87,2.00,0.16
35.0667,0.0998,2.5645,3.89,2.00,0.14
35.1000,0.0997,2.5666,3.89,2.00,0.19
35.1333,0.1054,2.7049,3.90,2.00,0.09
35.1667,0.0923,2.3481,3.93,2.00,0.13
35.2000,0.0909,2.3051,3.94,2.00,0.10
35.2333,0.0893,2.2676,3.94,2.00,0.14
35.2667,0.0928,2.3521,3.95,2.00,0.11
35.3000,0.0836,2.1075,3.97,2.00,0.09
35.3333,0.0782,1.9673,3.97,2.00,0.11
35.3667,0.0822,2.0729,3.96,2.00,0.12
35.4000,0.0997,2.5110,3.97,2.00,0.09
35.4333,0.0952,2.3853,3.99,2.00,0.10
35.4667,0.0894,2.2394,3.99,2.00,0.08
35.5000,0.0882,2.2183,3.97,2.00,0.10
35.5333,0.1209,3.0438,3.97,2.00,0.10
35.5667,0.1097,2.7506,3.99,2.00,0.12
35.6000,0.1075,2.6943,3.99,2.00,0.14
35.6333,0.0980,2.4609,3.98,2.00,0.12
35.6667,0.1422,3.5682,3.98,3.00,0.12
35.7000,0.1358,3.4003,3.99,3.00,0.22
